nanoseconds,executed_shares,execution_price,match_number,order_number,price,shares,tracking_number,buysell_S,msg_type_E,msg_type_P,date
34213882791288,100.0,124.75,200170.0,0.0,124.75,100.0,2,0,0,1,20180301
34240591258964,9.0,124.97,214389.0,0.0,124.97,9.0,2,0,0,1,20180301
34240591380716,31.0,124.97,214391.0,0.0,124.97,31.0,2,0,0,1,20180301
34243644473844,10.0,124.7,215305.0,9467738.0,124.7,10.0,2,0,1,0,20180301
34243644473844,90.0,124.7,215306.0,9467874.0,124.7,100.0,4,0,1,0,20180301
34252898062759,10.0,124.7,218557.0,9467874.0,124.7,100.0,2,0,1,0,20180301
34252898062759,90.0,124.7,218558.0,9522326.0,124.7,100.0,4,0,1,0,20180301
34310345954624,3.0,124.72,251703.0,10621350.0,124.72,200.0,2,0,1,0,20180301
34344156711749,96.0,125.385,271018.0,0.0,125.385,96.0,2,0,0,1,20180301
34359869174893,72.0,125.385,278124.0,0.0,125.385,72.0,2,0,0,1,20180301
34548324337532,32.0,124.99,379374.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548331359993,32.0,124.99,379527.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548331399846,150.0,124.99,379529.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548331664381,32.0,124.99,379530.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332017210,100.0,124.99,379545.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332049560,100.0,124.99,379546.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332059924,100.0,124.99,379547.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332086371,100.0,124.99,379548.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332095980,100.0,124.99,379549.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332097109,100.0,124.99,379550.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332104618,50.0,124.99,379551.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332120819,104.0,124.99,379552.0,16374282.0,124.99,1000.0,2,0,1,0,20180301
34548332449265,100.0,124.98,379560.0,16215870.0,124.98,100.0,2,0,1,0,20180301
34548332778834,100.0,124.97,379563.0,16170890.0,124.97,100.0,2,0,1,0,20180301
34548332778834,100.0,124.96,379564.0,15978874.0,124.96,100.0,4,0,1,0,20180301
34548333411333,100.0,124.94,379577.0,16461370.0,124.94,100.0,2,0,1,0,20180301
34548335260266,100.0,124.93,379593.0,16231538.0,124.93,100.0,2,0,1,0,20180301
34552413989284,15.0,124.99,382098.0,0.0,124.99,15.0,2,0,0,1,20180301
34552414025704,15.0,125.02,382099.0,16559730.0,125.02,15.0,2,1,1,0,20180301
34553808630933,100.0,124.88,383117.0,16559666.0,124.88,100.0,2,0,1,0,20180301
34553808890675,85.0,124.87,383118.0,16510538.0,124.87,100.0,2,0,1,0,20180301
34553809138938,15.0,124.87,383119.0,16510538.0,124.87,100.0,2,0,1,0,20180301
34553811887286,28.0,124.89,383121.0,0.0,124.89,28.0,2,0,0,1,20180301
34567585460744,59.0,124.74,393203.0,0.0,124.74,59.0,2,0,0,1,20180301
34579164468188,100.0,125.11,402394.0,17331122.0,125.11,100.0,2,1,1,0,20180301
34579164494251,100.0,125.16,402395.0,16624062.0,125.16,100.0,2,1,1,0,20180301
34579164795040,100.0,125.11,402396.0,17441010.0,125.11,100.0,2,0,1,0,20180301
34579164874220,13.0,125.12,402397.0,0.0,125.12,13.0,2,0,0,1,20180301
34579164874220,13.0,125.11,402398.0,0.0,125.11,13.0,4,0,0,1,20180301
34583672557010,100.0,125.12,405340.0,17470786.0,125.12,100.0,2,0,1,0,20180301
34588222065237,50.0,125.02,408274.0,0.0,125.02,50.0,2,0,0,1,20180301
34592665023614,100.0,124.97,410536.0,0.0,124.97,100.0,2,0,0,1,20180301
34661031926947,8.0,125.32,448342.0,0.0,125.32,8.0,2,0,0,1,20180301
34673943721719,15.0,125.02,455312.0,19780518.0,125.02,15.0,2,1,1,0,20180301
34741408460846,100.0,125.35,492968.0,0.0,125.35,100.0,2,0,0,1,20180301
34754350406043,100.0,125.07,499849.0,0.0,125.07,100.0,2,0,0,1,20180301
34756702236760,26.0,125.36,500983.0,0.0,125.36,26.0,2,0,0,1,20180301
34756702236760,74.0,125.37,500984.0,0.0,125.37,74.0,4,0,0,1,20180301
34757261543227,20.0,125.38,501938.0,0.0,125.38,20.0,2,0,0,1,20180301
34757261543227,13.0,125.38,501939.0,0.0,125.38,13.0,4,0,0,1,20180301
34757261543227,67.0,125.4,501940.0,0.0,125.4,67.0,6,0,0,1,20180301
34757261574003,33.0,125.4,501941.0,0.0,125.4,33.0,2,0,0,1,20180301
34757261779810,100.0,125.41,501942.0,21359842.0,125.41,100.0,2,1,1,0,20180301
34757261838215,40.0,125.41,501943.0,21888386.0,125.41,40.0,2,1,1,0,20180301
34757261838215,11.0,125.41,501944.0,21888390.0,125.41,40.0,4,1,1,0,20180301
34771068399250,100.0,125.41,508478.0,21913670.0,125.41,100.0,2,1,1,0,20180301
34771068399250,40.0,125.41,508479.0,22083874.0,125.41,40.0,4,1,1,0,20180301
34771068399250,100.0,125.41,508480.0,22084638.0,125.41,100.0,6,1,1,0,20180301
34771068427147,100.0,125.42,508481.0,19653246.0,125.42,100.0,2,1,1,0,20180301
34771068762346,15.0,125.44,508483.0,22096614.0,125.44,15.0,2,1,1,0,20180301
34774500240567,100.0,125.61,510165.0,22252266.0,125.61,138.0,2,1,1,0,20180301
34795438987937,1.0,125.46,519921.0,22307582.0,125.46,1.0,2,0,1,0,20180301
34795438987937,300.0,125.46,519922.0,22462822.0,125.46,300.0,4,0,1,0,20180301
34795439035463,5.0,125.45,519923.0,22799538.0,125.45,5.0,2,0,1,0,20180301
34795439055864,50.0,125.41,519924.0,22298250.0,125.41,100.0,2,0,1,0,20180301
34795439063552,50.0,125.41,519925.0,22298250.0,125.41,100.0,2,0,1,0,20180301
34795439063552,50.0,125.41,519926.0,22307562.0,125.41,100.0,4,0,1,0,20180301
34795439068172,50.0,125.41,519927.0,22307562.0,125.41,100.0,2,0,1,0,20180301
34795439072206,37.0,125.41,519928.0,22307566.0,125.41,100.0,2,0,1,0,20180301
34795439073103,45.0,125.41,519929.0,22307566.0,125.41,100.0,2,0,1,0,20180301
34795439098585,15.0,125.41,519930.0,22307566.0,125.41,100.0,2,0,1,0,20180301
34795439165188,3.0,125.41,519931.0,22307566.0,125.41,100.0,2,0,1,0,20180301
34798035934812,100.0,125.11,521038.0,0.0,125.11,100.0,2,0,0,1,20180301
34815069990357,5.0,125.1,530945.0,22927910.0,125.1,5.0,2,0,1,0,20180301
34926129556623,10.0,125.12,588648.0,0.0,125.12,10.0,2,0,0,1,20180301
34926129556623,3.0,125.15,588649.0,26021566.0,125.15,13.0,4,1,1,0,20180301
34926129582565,10.0,125.15,588650.0,26021566.0,125.15,13.0,2,1,1,0,20180301
34926129607779,40.0,125.16,588651.0,26021590.0,125.16,40.0,2,1,1,0,20180301
34939866528978,100.0,125.11,595423.0,26132890.0,125.11,100.0,2,0,1,0,20180301
34939866528978,262.0,125.11,595424.0,26224806.0,125.11,262.0,4,0,1,0,20180301
34939866557177,100.0,125.06,595425.0,26193870.0,125.06,100.0,2,0,1,0,20180301
34939885155938,48.0,125.0,595428.0,26400658.0,125.0,48.0,2,1,1,0,20180301
34944070750651,100.0,124.99,596993.0,26400698.0,124.99,100.0,2,0,1,0,20180301
34944074563556,100.0,124.98,596994.0,25417142.0,124.98,100.0,2,0,1,0,20180301
34944074563556,5.0,124.98,596995.0,26406430.0,124.98,5.0,4,0,1,0,20180301
34944080524366,26.0,124.97,596998.0,23363426.0,124.97,26.0,2,0,1,0,20180301
34964518313573,100.0,124.76,610179.0,26656510.0,124.76,100.0,2,0,1,0,20180301
34967116602341,4.0,124.86,611098.0,27068238.0,124.86,41.0,2,1,1,0,20180301
34967117077737,41.0,124.86,611099.0,27068246.0,124.86,41.0,2,1,1,0,20180301
34967117103347,100.0,124.9,611100.0,0.0,124.9,100.0,2,0,0,1,20180301
34969259704570,100.0,124.88,612323.0,0.0,124.88,100.0,2,0,0,1,20180301
34973734913500,100.0,124.77,614232.0,0.0,124.77,100.0,2,0,0,1,20180301
35005243236598,14.0,125.1,629480.0,0.0,125.1,14.0,2,0,0,1,20180301
35037908825659,50.0,124.82,652461.0,27773350.0,124.82,50.0,2,0,1,0,20180301
35037908825659,30.0,124.81,652462.0,27756590.0,124.81,30.0,4,0,1,0,20180301
35037908825659,20.0,124.79,652463.0,28619198.0,124.79,100.0,6,0,1,0,20180301
35037998693246,24.0,124.84,652483.0,28882834.0,124.84,100.0,2,1,1,0,20180301
35037998718356,76.0,124.84,652484.0,28882834.0,124.84,100.0,2,1,1,0,20180301
35037998750069,100.0,124.84,652485.0,0.0,124.84,100.0,2,0,0,1,20180301
35037998751304,76.0,124.84,652486.0,0.0,124.84,76.0,2,0,0,1,20180301
35037998765643,78.0,124.84,652487.0,0.0,124.84,78.0,2,0,0,1,20180301
35037998936182,41.0,124.85,652488.0,28882810.0,124.85,41.0,2,1,1,0,20180301
35037998936182,37.0,124.85,652489.0,28882818.0,124.85,37.0,4,1,1,0,20180301
35037999005489,100.0,124.87,652490.0,28882098.0,124.87,100.0,2,1,1,0,20180301
35037999023082,100.0,124.88,652491.0,28881734.0,124.88,100.0,2,1,1,0,20180301
35038945546008,16.0,124.94,652854.0,28722574.0,124.94,16.0,2,1,1,0,20180301
35042360475028,2.0,124.88,654847.0,28883174.0,124.88,2.0,2,0,1,0,20180301
35048956539819,100.0,124.63,658512.0,28977930.0,124.63,100.0,2,0,1,0,20180301
35078006655182,100.0,124.47,675324.0,0.0,124.47,100.0,2,0,0,1,20180301
35078006655182,100.0,124.44,675325.0,29866874.0,124.44,100.0,4,0,1,0,20180301
35083474491027,100.0,124.49,677333.0,0.0,124.49,100.0,2,0,0,1,20180301
35083474491027,100.0,124.46,677334.0,0.0,124.46,100.0,4,0,0,1,20180301
35084039540948,2.0,124.46,677762.0,0.0,124.46,2.0,2,0,0,1,20180301
35084039784425,2.0,124.45,677842.0,0.0,124.45,2.0,2,0,0,1,20180301
35084039808868,2.0,124.45,677852.0,0.0,124.45,2.0,2,0,0,1,20180301
35084039850191,96.0,124.45,677862.0,0.0,124.45,96.0,2,0,0,1,20180301
35084039850191,4.0,124.44,677863.0,29866978.0,124.44,100.0,4,0,1,0,20180301
35084039928814,2.0,124.44,677871.0,29866978.0,124.44,100.0,2,0,1,0,20180301
35084039974912,2.0,124.44,677879.0,29866978.0,124.44,100.0,2,0,1,0,20180301
35084041878951,2.0,124.44,677962.0,29866978.0,124.44,100.0,2,0,1,0,20180301
35084042609337,32.0,124.44,677984.0,29866978.0,124.44,100.0,2,0,1,0,20180301
35084042670012,32.0,124.44,677988.0,29866978.0,124.44,100.0,2,0,1,0,20180301
35084043272801,26.0,124.44,678013.0,29866978.0,124.44,100.0,2,0,1,0,20180301
35100477868349,10.0,124.37,690889.0,0.0,124.37,10.0,2,0,0,1,20180301
35114389073285,10.0,124.44,701013.0,0.0,124.44,10.0,2,0,0,1,20180301
35114389073285,290.0,124.54,701014.0,30728914.0,124.54,300.0,4,1,1,0,20180301
35114389100023,10.0,124.54,701015.0,30728914.0,124.54,300.0,2,1,1,0,20180301
35114389120476,100.0,124.55,701016.0,30480082.0,124.55,100.0,2,1,1,0,20180301
35114389127314,5.0,124.56,701017.0,30194038.0,124.56,5.0,2,1,1,0,20180301
35143152421915,100.0,124.78,718970.0,31373214.0,124.78,200.0,2,1,1,0,20180301
35143152462333,61.0,124.78,718971.0,31373214.0,124.78,200.0,2,1,1,0,20180301
35143152467949,39.0,124.78,718972.0,31373214.0,124.78,200.0,2,1,1,0,20180301
35143152467949,41.0,124.78,718973.0,31634306.0,124.78,41.0,4,1,1,0,20180301
35155989368621,100.0,124.82,726536.0,0.0,124.82,100.0,2,0,0,1,20180301
35155989529652,50.0,124.82,726537.0,31973090.0,124.82,100.0,2,1,1,0,20180301
35155989531806,11.0,124.82,726538.0,31973090.0,124.82,100.0,2,1,1,0,20180301
35155989533164,39.0,124.82,726539.0,31973090.0,124.82,100.0,2,1,1,0,20180301
35188516342906,16.0,124.94,745622.0,32540670.0,124.94,16.0,2,1,1,0,20180301
35188516370035,41.0,124.95,745623.0,32768686.0,124.95,41.0,2,1,1,0,20180301
35217027871376,2.0,124.9,757749.0,0.0,124.9,2.0,2,0,0,1,20180301
35236531252950,98.0,124.91,766109.0,0.0,124.91,98.0,2,0,0,1,20180301
35236531252950,2.0,124.9,766110.0,33537410.0,124.9,100.0,4,0,1,0,20180301
35236531299777,98.0,124.9,766111.0,33537410.0,124.9,100.0,2,0,1,0,20180301
35236531311543,152.0,124.89,766112.0,33537398.0,124.89,200.0,2,0,1,0,20180301
35236531318625,48.0,124.89,766113.0,33537398.0,124.89,200.0,2,0,1,0,20180301
35236531318625,2.0,124.89,766114.0,33630070.0,124.89,5.0,4,0,1,0,20180301
